"","Day","Hr","ActFrcst","GenFrac","Date"
"528",92,5,1,0.845875868840799,2017-05-19
"529",93,5,1,0.259168677506754,2017-05-20
"530",94,5,1,0.0905886409100741,2017-05-21
"531",95,5,1,0.167733644892329,2017-05-22
"532",96,5,1,0.449618115250212,2017-05-23
"533",97,5,1,0.418802346203528,2017-05-24
"534",98,5,1,0.586953219649202,2017-05-25
"535",99,5,1,0.594865487141652,2017-05-26
"536",100,5,1,0.575082094420724,2017-05-27
"537",101,5,1,0.520283441331762,2017-05-28
"538",102,5,1,0.515859775808386,2017-05-29
"539",103,5,1,0.864785960683834,2017-05-30
"540",104,5,1,0.872250900749055,2017-05-31
"541",105,5,1,0.475136366045307,2017-06-01
"542",106,5,1,0.222100418099102,2017-06-02
"543",107,5,1,0.777992553704743,2017-06-03
"544",108,5,1,0.434981888761817,2017-06-04
"545",109,5,1,0.401536098211358,2017-06-05
"546",1,6,1,0.4109768507679,2017-02-17
"547",2,6,1,0.377605433622043,2017-02-18
"548",3,6,1,0.973160010062309,2017-02-19
"549",4,6,1,0.999999999714603,2017-02-20
"550",5,6,1,0.622020208599177,2017-02-21
"551",6,6,1,0.00249385084213665,2017-02-22
"552",7,6,1,0,2017-02-23
"553",8,6,1,0,2017-02-24
"554",9,6,1,0.0357183222378096,2017-02-25
"555",10,6,1,0.0148521899548176,2017-02-26
"556",11,6,1,0.499964850312312,2017-02-27
"557",12,6,1,0.969747626203927,2017-02-28
"558",13,6,1,0.819442081761454,2017-03-01
"559",14,6,1,0.112320798343226,2017-03-02
"560",15,6,1,0.316128917458799,2017-03-03
"561",16,6,1,0.300826657532011,2017-03-04
"562",17,6,1,0.96137641630425,2017-03-05
"563",18,6,1,0.175855928588845,2017-03-06
"564",19,6,1,0.0129171246942332,2017-03-07
"565",20,6,1,0.0561236936667706,2017-03-08
"566",21,6,1,0.3706768581033,2017-03-09
"567",22,6,1,0,2017-03-10
"568",23,6,1,0.999999999724381,2017-03-11
"569",24,6,1,0.113336866875061,2017-03-12
"570",25,6,1,0.167568039309774,2017-03-13
"571",26,6,1,0.120666915294716,2017-03-14
"572",27,6,1,0.734073662027064,2017-03-15
"573",28,6,1,0.687346708853839,2017-03-16
"574",29,6,1,0.436411161143586,2017-03-17
"575",30,6,1,0.192620330361024,2017-03-18
"576",31,6,1,0.999999999727739,2017-03-19
"577",32,6,1,0.453260660177899,2017-03-20
"578",33,6,1,0.0437130168866235,2017-03-21
"579",34,6,1,0.638677485288356,2017-03-22
"580",35,6,1,0.675438473505999,2017-03-23
